Year,Mult
2016,1
2017,1.025
2018,1.050625
2019,1.076890625
2020,1.103812891
2021,1.131408213
2022,1.159693418
2023,1.188685754
2024,1.218402898
2025,1.24886297
2026,1.25
2027,1.25
2028,1.25
2029,1.25
2030,1.25
2031,1.25
2032,1.25
2033,1.25
2034,1.25
2035,1.25
2036,1.25
2037,1.25
2038,1.25
2039,1.25
2040,1.25
2041,1.25
2042,1.25
2043,1.25
2044,1.25
2045,1.25
2046,1.25
2047,1.25
2048,1.25
2049,1.25
2050,1.25
2051,1.25
2052,1.25
2053,1.25
2054,1.25
2055,1.25
2056,1.25
2057,1.25
2058,1.25
2059,1.25
2060,1.25
2061,1.25
2062,1.25
2063,1.25
2064,1.25
2065,1.25
