StockID,Ricker_B,TauR,Ricker_A
CRsu,2.69E-05,15.05904463,13.45838862
FRL.N,4.34E-06,1.590925506,1.672247303
FRsp4.2,8.33E-05,3.644432808,5.193133194
FRsp5.2,4.32E-05,18.52674371,3.252855172
FRsu4.1,6.20E-06,6.107880538,3.792401284
FRsu5.2,2.36E-05,14.40257866,2.23308382
LSG.N,0.000109144,3.689414628,5.755137102
NBC,7.35E-06,10.57693321,1.340255638
OC.N,1.05E-05,4.367055524,7.890979092
CRf,1.20E-05,2.956998998,32.65889411
WC.N,3.10E-05,28.22564108,5.751191353
WCVI.N,5.09E-05,1.81666289,5.221824372
WCVI.H,NA,NA,NA
WC.H,NA,NA,NA
