Year,StockID,Escape
1984,Harrison,122395
1985,Harrison,175401
1986,Harrison,163312
1987,Harrison,79956
1988,Harrison,35572
1989,Harrison,76032
1990,Harrison,178839
1991,Harrison,92050
1992,Harrison,132363
1993,Harrison,120487
1994,Harrison,99649
1995,Harrison,28830
1996,Harrison,38600
1997,Harrison,71955
1998,Harrison,201188
1999,Harrison,105458
2000,Harrison,79141
2001,Harrison,109734
2002,Harrison,84180
2003,Harrison,247916
2004,Harrison,140270
2005,Harrison,88756
2006,Harrison,60618
2007,Harrison,76655
2008,Harrison,41781
2009,Harrison,70272
2010,Harrison,103875
2011,Harrison,123691
2012,Harrison,44663
2013,Harrison,43143
2014,Harrison,44907
2015,Harrison,101759
2016,Harrison,41526
2017,Harrison,30049
2018,Harrison,46336
2019,Harrison,45186
