"","parameters","MLE","MLE_Low","MLE_Upper","median","low","high"
"1","a_[2010]",0.653821240532747,-0.165134531908233,1.47277701297373,0.724075008454836,0.113350473949656,1.501998134006
"2","a_[2011]",0.661128615502977,-0.170239120962712,1.49249635196867,0.765857360372927,0.136101971328998,1.57616057037298
"3","a_[2012]",0.473026882722852,-0.364817205941279,1.31087097138698,0.587028024420349,0.0644573477805417,1.35745380238878
"4","a_[2013]",0.415562677959661,-0.498553042439336,1.32967839835866,0.547515636705234,0.0419451811120122,1.38764280720422
"5","a_[AVG]",0.550884854179559,-0.141688489561499,1.24345819792062,0.656144613981979,0.24269682088182,1.28699003102577
"6","alpha[AVG]",1.73478737278456,0.533319881335391,2.93625486423372,1.92734732400458,1.27468210853207,3.62186842079684
"7","b",5.98245095005323e-06,1.16517052431968e-06,1.07997313757868e-05,6.22931005675171e-06,2.67307015447698e-06,1.06934040592991e-05
"8","Smax",167155.570241843,32556.0117496509,301755.128734034,160531.421761847,93515.5909657271,374101.666726991
"9","rho",0.666336513829931,0.239457747677519,1.09321527998234,0.671756452641104,0.333956265015868,0.914759691544237
"10","sigma[Total]",0.716168823108909,0.532798975079944,0.899538671137874,0.740323706168131,0.58338550277615,0.979691796287602
