"","parameters","MLE","MLE_Low","MLE_Upper","median","low","high"
"1","a_[2010]",0.824702648613661,-0.0307963695812548,1.68020166680858,0.853537040510442,0.167029940507765,1.70431212386099
"2","a_[2011]",0.832010012162933,-0.0225397354019667,1.68655975972783,0.888049979651526,0.19393128176904,1.76395996899736
"3","a_[2012]",0.643908288172159,-0.234969212212414,1.52278578855673,0.703083986241619,0.0927888520451808,1.55509932596033
"4","a_[2013]",0.586444073511931,-0.366111606864021,1.53899975388788,0.660890597749871,0.0640615254692777,1.58711712937907
"5","a_[AVG]",0.721766255615171,-0.0132681406603562,1.4568006518907,0.772938627699247,0.30036330126714,1.4908211355917
"6","alpha[AVG]",2.05806507129113,0.545316454118905,3.57081368846336,2.16612233722961,1.3503493020845,4.44074047235377
"7","b",5.98245230158313e-06,1.16517277804328e-06,1.0799731825123e-05,5.83258550410978e-06,2.36246442893112e-06,1.04654052810786e-05
"8","Smax",167155.532478775,32556.0600110523,301755.004946497,171450.551268554,95552.9167907452,423286.79654342
"9","rho",0.666336602325018,0.239457983806229,1.09321522084381,0.657394052046115,0.326632820989119,0.908179942222676
"10","sigma[Total]",0.716168790108249,0.53279896212977,0.899538618086729,0.751168277879446,0.588784142609278,1.00254990441404
